metric,mean,95% CI,width
H1_wasserstein,1.3584,"[1.2262, 1.6900]",0.4639
H0_wasserstein,0.3452,"[0.2549, 0.5957]",0.3408
id_difference,0.1197,"[0.0035, 0.3195]",0.316
H1_bottleneck,0.0081,"[0.0066, 0.0106]",0.004
H0_bottleneck,0.0066,"[0.0042, 0.0105]",0.0063
curv_distribution,0.0012,"[0.0008, 0.0019]",0.0011
curv_frac_negative,0.0011,"[0.0000, 0.0029]",0.0029
